DATE,GDPC1,AWHI,RKNANPUSA666NRUG,PCECCA,GPDIC1
1929-01-01,.,.,.,832.441,.
1930-01-01,.,.,.,787.848,.
1931-01-01,.,.,.,763.241,.
1932-01-01,.,.,.,694.91,.
1933-01-01,.,.,.,679.582,.
1934-01-01,.,.,.,728.132,.
1935-01-01,.,.,.,772.327,.
1936-01-01,.,.,.,850.896,.
1937-01-01,.,.,.,882.366,.
1938-01-01,.,.,.,868.264,.
1939-01-01,.,.,.,916.83,.
1940-01-01,.,.,.,964.31,.
1941-01-01,.,.,.,1032.467,.
1942-01-01,.,.,.,1007.972,.
1943-01-01,.,.,.,1036.073,.
1944-01-01,.,.,.,1065.541,.
1945-01-01,.,.,.,1131.432,.
1946-01-01,.,.,.,1271.325,.
1947-01-01,2036.2040000000000000,.,.,1295.599,212.0555000000000000
1948-01-01,2119.9592500000000000,.,.,1324.89,267.2587500000000000
1949-01-01,2107.9990000000000000,.,.,1361.728,206.6760000000000000
1950-01-01,2291.1105000000000000,.,10576814.0,1449.179,287.9062500000000000
1951-01-01,2475.4487500000000000,.,10912329.0,1471.889,288.5997500000000000
1952-01-01,2576.6580000000000000,.,11273329.0,1518.344,265.0270000000000000
1953-01-01,2697.4562500000000000,.,11682797.0,1590.339,279.9185000000000000
1954-01-01,2681.8540000000000000,.,12073595.0,1623.57,268.9112500000000000
1955-01-01,2873.1597500000000000,.,12512252.0,1743.351,331.0765000000000000
1956-01-01,2934.3912500000000000,.,12946795.0,1794.297,330.1690000000000000
1957-01-01,2996.1780000000000000,.,13370985.0,1838.779,317.8107500000000000
1958-01-01,2973.9822500000000000,.,13754814.0,1854.711,294.7850000000000000
1959-01-01,3180.2200000000000000,.,14239896.0,1960.535,351.4152500000000000
1960-01-01,3262.0610000000000000,.,14711919.0,2014.329,352.7090000000000000
1961-01-01,3345.6902500000000000,.,15205274.0,2055.643,353.8377500000000000
1962-01-01,3550.6837500000000000,.,15759578.0,2157.28,395.8957500000000000
1963-01-01,3705.3177500000000000,.,16361409.0,2246.301,422.7700000000000000
1964-01-01,3918.7907500000000000,52.1000000000000000,17023690.0,2379.985,456.1150000000000000
1965-01-01,4173.4237500000000000,54.4750000000000000,17752528.0,2530.963,519.2420000000000000
1966-01-01,4448.7030000000000000,56.7833333333333333,18530992.0,2674.47,565.8722500000000000
1967-01-01,4570.7090000000000000,56.9916666666666667,19263546.0,2754.423,546.0750000000000000
1968-01-01,4795.3870000000000000,58.3666666666666667,20015188.0,2913.143,578.7155000000000000
1969-01-01,4945.2352500000000000,60.3750000000000000,20760190.0,3021.794,610.9480000000000000
1970-01-01,4954.4357500000000000,59.4000000000000000,21404620.0,3092.901,573.8025000000000000
1971-01-01,5117.6030000000000000,58.9666666666666667,22058784.0,3211.015,632.9342500000000000
1972-01-01,5386.7330000000000000,61.3666666666666667,22805318.0,3407.684,704.2307500000000000
1973-01-01,5690.8527500000000000,64.1416666666666667,23631744.0,3576.324,781.2872500000000000
1974-01-01,5660.0907500000000000,64.1583333333333333,24335552.0,3546.366,729.5452500000000000
1975-01-01,5648.4617500000000000,61.1583333333333333,24870554.0,3626.777,611.3635000000000000
1976-01-01,5952.8090000000000000,63.6250000000000000,25504852.0,3828.913,728.0377500000000000
1977-01-01,6228.0765000000000000,66.0500000000000000,26279792.0,3990.739,831.9022500000000000
1978-01-01,6572.8190000000000000,69.2750000000000000,27203124.0,4165.391,928.1320000000000000
1979-01-01,6780.9237500000000000,71.6583333333333333,28174168.0,4264.402,960.6625000000000000
1980-01-01,6763.5137500000000000,70.8000000000000000,28983298.0,4251.089,864.0012500000000000
1981-01-01,6935.1532500000000000,71.4333333333333333,29770398.0,4310.034,940.0510000000000000
1982-01-01,6810.1200000000000000,68.8250000000000000,30400942.0,4373.125,821.9737500000000000
1983-01-01,7122.2905000000000000,69.8250000000000000,31125584.0,4620.691,898.6887500000000000
1984-01-01,7637.7040000000000000,74.0333333333333333,32101154.0,4863.775,1143.9515000000000000
1985-01-01,7956.1695000000000000,76.0083333333333333,33160380.0,5115.597,1143.2232500000000000
1986-01-01,8231.6635000000000000,77.2333333333333333,34217176.0,5326.775,1145.0302500000000000
1987-01-01,8516.4182500000000000,79.5583333333333333,35245908.0,5507.629,1177.5695000000000000
1988-01-01,8872.1542500000000000,81.8833333333333333,36263700.0,5737.676,1206.6217500000000000
1989-01-01,9197.9975000000000000,83.8416666666666667,37283484.0,5904.965,1255.4312500000000000
1990-01-01,9371.4680000000000000,84.2250000000000000,38223836.0,6023.895,1223.0352500000000000
1991-01-01,9361.3220000000000000,82.4416666666666667,38987084.0,6034.769,1142.1105000000000000
1992-01-01,9691.0687500000000000,83.0166666666666667,39793464.0,6256.853,1225.3305000000000000
1993-01-01,9957.7462500000000000,85.4333333333333333,40663208.0,6474.82,1323.3020000000000000
1994-01-01,10358.9232500000000000,89.0083333333333333,41620812.0,6725.674,1479.8115000000000000
1995-01-01,10636.9787500000000000,91.4083333333333333,42632688.0,6924.116,1527.2895000000000000
1996-01-01,11038.2660000000000000,93.6000000000000000,43758388.0,7164.377,1660.7992500000000000
1997-01-01,11529.1570000000000000,96.9250000000000000,44977188.0,7434.153,1850.2095000000000000
1998-01-01,12045.8240000000000000,99.3250000000000000,46345160.0,7828.985,2026.3020000000000000
1999-01-01,12623.361000000000,101.5000000000000000,47827892.0,8250.271,2198.7070000000000000
2000-01-01,13138.035250000000,103.4500000000000000,49368260.0,8665.826,2346.7312500000000000
2001-01-01,13263.417000000000,102.0333333333333333,50734816.0,8880.425,2214.6262500000000000
2002-01-01,13488.357000000000,99.9916666666666667,51925832.0,9106.249,2195.4850000000000000
2003-01-01,13865.519250000000,98.6666666666666667,53184000.0,9394.39,2290.3707500000000000
2004-01-01,14399.696000000000,100.2666666666666667,54572836.0,9748.558,2502.5520000000000000
2005-01-01,14901.269000000000,102.8166666666666667,56084488.0,10093.793,2670.5650000000000000
2006-01-01,15315.943250000000,105.7333333333333333,57575292.0,10386.247,2752.4130000000000000
2007-01-01,15623.871500000000,107.3000000000000000,58915288.0,10638.728,2684.1375000000000000
2008-01-01,15642.962000000000,106.0500000000000000,59981812.0,10654.688,2462.9115000000000000
2009-01-01,15236.262250000000,98.8833333333333333,60510768.0,10515.592,1941.9702500000000000
2010-01-01,15648.991000000000,98.9500000000000000,61054676.0,10716.008,2216.4777500000000000
2011-01-01,15891.534000000000,101.4083333333333333,61672648.0,10898.345,2362.1282500000000000
2012-01-01,16253.970000000000,104.1250000000000000,62435632.0,11047.363,2621.7540000000000000
2013-01-01,16553.347500000000,106.1000000000000000,63232928.0,11211.711,2801.4732500000000000
2014-01-01,16932.051750000000,108.4916666666666667,64124212.0,11515.312,2959.1985000000000000
2015-01-01,17390.295250000000,110.9250000000000000,65057816.0,11892.947,3121.7557500000000000
2016-01-01,17680.273750000000,112.5833333333333333,65974060.0,12187.676,3089.9140000000000000
2017-01-01,18079.084000000000,114.7250000000000000,66942704.0,12483.677,3212.4750000000000000
2018-01-01,18606.786500000000,117.1166666666666667,68007352.0,12845.029,3394.8452500000000000
2019-01-01,19032.671500000000,118.2333333333333333,69059064.0,13126.286,3510.6215000000000000
2020-01-01,18384.687250000000,110.7416666666666667,.,12629.897,3316.2230000000000000
2021-01-01,19427.287000000000,115.3916666666666667,.,13624.765,3640.0147500000000000
2022-01-01,.,.,.,.,.
